time,open,high,low,close,date,time_str
1738825095000,1738825096862,1738825096862,1738825096862,1738825096862,2025-02-06,06:58:15.000Z
1738825100000,1738825100259,1738825100259,1738825100259,1738825100259,2025-02-06,06:58:20.000Z
1738825100000,1738825101505,1738825104404,1738825101505,1738825104404,2025-02-06,06:58:20.000Z
1738825105000,1738825105415,1738825105415,1738825105415,1738825105415,2025-02-06,06:58:25.000Z
1738825105000,1738825107376,1738825109496,1738825107376,1738825109496,2025-02-06,06:58:25.000Z
1738825110000,1738825110733,1738825110733,1738825110733,1738825110733,2025-02-06,06:58:30.000Z
1738825110000,1738825112277,1738825114889,1738825112277,1738825114889,2025-02-06,06:58:30.000Z
1738825115000,1738825115998,1738825115998,1738825115998,1738825115998,2025-02-06,06:58:35.000Z
1738825115000,1738825117137,1738825119651,1738825117137,1738825119651,2025-02-06,06:58:35.000Z
1738825120000,1738825120662,1738825120662,1738825120662,1738825120662,2025-02-06,06:58:40.000Z
1738825120000,1738825121863,1738825124648,1738825121863,1738825124648,2025-02-06,06:58:40.000Z
1738825125000,1738825125880,1738825125880,1738825125880,1738825125880,2025-02-06,06:58:45.000Z
1738825125000,1738825128142,1738825129174,1738825128142,1738825129174,2025-02-06,06:58:45.000Z
1738825130000,1738825130310,1738825130310,1738825130310,1738825130310,2025-02-06,06:58:50.000Z
1738825130000,1738825131638,1738825134876,1738825131638,1738825134876,2025-02-06,06:58:50.000Z
1738825135000,1738825136316,1738825139361,1738825136316,1738825139361,2025-02-06,06:58:55.000Z
1738825140000,1738825140374,1738825140374,1738825140374,1738825140374,2025-02-06,06:59:00.000Z
1738825140000,1738825141935,1738825144918,1738825141935,1738825144918,2025-02-06,06:59:00.000Z
1738825145000,1738825146467,1738825149847,1738825146467,1738825149847,2025-02-06,06:59:05.000Z
1738825150000,1738825150985,1738825150985,1738825150985,1738825150985,2025-02-06,06:59:10.000Z
1738825150000,1738825152247,1738825154918,1738825152247,1738825154918,2025-02-06,06:59:10.000Z
1738825155000,1738825155965,1738825155965,1738825155965,1738825155965,2025-02-06,06:59:15.000Z
1738825155000,1738825158136,1738825159152,1738825158136,1738825159152,2025-02-06,06:59:15.000Z
1738825160000,1738825160158,1738825160158,1738825160158,1738825160158,2025-02-06,06:59:20.000Z
1738825160000,1738825162084,1738825164004,1738825162084,1738825164004,2025-02-06,06:59:20.000Z
1738825165000,1738825165221,1738825165221,1738825165221,1738825165221,2025-02-06,06:59:25.000Z
1738825165000,1738825167046,1738825169754,1738825167046,1738825169754,2025-02-06,06:59:25.000Z
1738825170000,1738825171255,1738825174686,1738825171255,1738825174686,2025-02-06,06:59:30.000Z
1738825175000,1738825175702,1738825175702,1738825175702,1738825175702,2025-02-06,06:59:35.000Z
